Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb_Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
45,tt3501984,4/28/2024,4/28/2024,,Yoshi's Safari,Yoshi No Road Hunting,https://www.imdb.com/title/tt3501984/,Video Game,5.6,,1993,"Action, Adventure, Family, Fantasy",35,9/23/1993,
212,tt9465278,4/28/2024,4/28/2024,,NES Remix 2,NES Remix 2,https://www.imdb.com/title/tt9465278/,Video Game,5.6,,2014,Action,12,4/25/2014,Koichi Hayashida
33,tt0302839,4/28/2024,4/28/2024,,NES Open Tournament Golf,Mario Open Golf,https://www.imdb.com/title/tt0302839/,Video Game,5.5,,1991,"Family, Sport",65,1991-09,Kenji Miki
35,tt0481949,4/28/2024,4/28/2024,,Mario Teaches Typing,Mario Teaches Typing,https://www.imdb.com/title/tt0481949/,Video Game,5.5,,1991,"Adventure, Family",62,11/13/1991,
127,tt3426146,4/28/2024,4/28/2024,,Donkey Konga 2,Donkey Konga 2,https://www.imdb.com/title/tt3426146/,Video Game,5.5,,2004,"Family, Fantasy, Music",34,5/9/2005,
205,tt2959678,4/28/2024,4/28/2024,,Mario & Sonic at the Sochi 2014 Olympic Winter Games,Mario & Sonic at the Sochi 2014 Olympic Winter Games,https://www.imdb.com/title/tt2959678/,Video Game,5.5,,2013,"Family, Sport",142,11/15/2013,Hiroshi Miyamoto
247,tt10585236,4/28/2024,4/28/2024,,Dr. Mario World,Dokutâ Mario Wârudo,https://www.imdb.com/title/tt10585236/,Video Game,5.5,,2019,,40,7/9/2019,
25,tt3426124,4/28/2024,4/28/2024,,Famicom Grand Prix II: 3D Hot Rally,Famicom Grand Prix II: 3D Hot Rally,https://www.imdb.com/title/tt3426124/,Video Game,5.4,,1988,Sport,12,4/14/1988,
86,tt3431398,4/28/2024,4/28/2024,,Mario Artist: Paint Studio,Mario Artist: Paint Studio,https://www.imdb.com/title/tt3431398/,Video Game,5.4,,1999,Family,18,12/11/1999,Hirofumi Matsuoka
197,tt1814824,4/28/2024,4/28/2024,,Paper Mario: Sticker Star,Pêpâ Mario: Sûpâ shîru,https://www.imdb.com/title/tt1814824/,Video Game,5.4,,2012,"Adventure, Fantasy",242,11/11/2012,"Naohiko Aoyama, Taro Kudo"
248,tt7950452,4/28/2024,4/28/2024,,Mario Kart Tour,Mario Kart Tour,https://www.imdb.com/title/tt7950452/,Video Game,5.4,,2019,"Action, Family, Sport",325,9/25/2019,"Shinya Fujiwara, Yugo Hayashi, Kosuke Yabuki"
238,tt7976578,4/28/2024,4/28/2024,,Mario Party: The Top 100,Mario Party: The Top 100,https://www.imdb.com/title/tt7976578/,Video Game,5.3,,2017,"Action, Adventure, Family",66,11/10/2017,"Tsutomu Komiyama, Shuichiro Nishiya"
11,tt3404206,4/28/2024,4/28/2024,,Mario Bros. Special,Mario Bros. Special,https://www.imdb.com/title/tt3404206/,Video Game,5.2,,1984,Action,19,1984,
80,tt3429360,4/28/2024,4/28/2024,,Mario No Photopi,Mario No Photopi,https://www.imdb.com/title/tt3429360/,Video Game,5.2,,1998,Family,8,12/2/1998,
55,tt1571573,4/28/2024,4/28/2024,,Hotel Mario,Hotel Mario,https://www.imdb.com/title/tt1571573/,Video Game,5.1,,1994,"Action, Adventure, Comedy, Fantasy, Mystery",588,4/5/1994,
9,tt0185909,4/28/2024,4/28/2024,,Baseball,Baseball,https://www.imdb.com/title/tt0185909/,Video Game,5,,1983,Sport,95,10/18/1985,
14,tt3485808,4/28/2024,4/28/2024,,Donkey Kong Hockey,Donkey Kong Hockey,https://www.imdb.com/title/tt3485808/,Video Game,5,,1984,"Short, Family, Sport",19,11/13/1984,
38,tt3417424,4/28/2024,4/28/2024,,Super Mario Bros. & Friends: When I Grow Up,Super Mario Bros. & Friends: When I Grow Up,https://www.imdb.com/title/tt3417424/,Video Game,5,,1992,"Comedy, Family, Fantasy",11,3/24/1992,
98,tt3430366,4/28/2024,4/28/2024,,Mario Artist: Communication Kit,Mario Artist: Communication Kit,https://www.imdb.com/title/tt3430366/,Video Game,5,,2000,Family,9,6/29/2000,Kazunobu Eri
129,tt0416959,4/28/2024,4/28/2024,,Mario Pinball Land,Super Mario Ball,https://www.imdb.com/title/tt0416959/,Video Game,5,,2004,Fantasy,65,10/4/2004,Adrian Barritt
10,tt0186168,4/28/2024,4/28/2024,,Golf,Golf,https://www.imdb.com/title/tt0186168/,Video Game,4.9,,1984,Sport,89,10/18/1985,
224,tt5289422,4/28/2024,4/28/2024,,Mario Tennis: Ultra Smash,Mario Tennis: Ultra Smash,https://www.imdb.com/title/tt5289422/,Video Game,4.8,,2015,Sport,91,11/20/2015,Shugo Takahashi
5,tt3449548,4/28/2024,4/28/2024,,Mario's Cement Factory,Mario's Cement Factory,https://www.imdb.com/title/tt3449548/,Video Game,4.7,,1983,,18,4/28/1983,
27,tt3424542,4/28/2024,4/28/2024,,Kaette Kita Mario Bros.,Kaette Kita Mario Bros.,https://www.imdb.com/title/tt3424542/,Video Game,4.7,,1988,"Action, Comedy, Family, Fantasy",17,11/30/1988,
62,tt0461809,4/28/2024,4/28/2024,,Mario Clash,Mario Clash,https://www.imdb.com/title/tt0461809/,Video Game,4.7,,1995,"Action, Adventure",68,10/1/1995,"Hiroyuki Kimura, Tôru Ôsawa"
138,tt3496494,4/28/2024,4/28/2024,,Mario Party Advance,Mario Party Advance,https://www.imdb.com/title/tt3496494/,Video Game,4.6,,2005,"Action, Adventure, Comedy, Family, Fantasy",66,3/28/2005,Shinichi Nakata
6,tt3483388,4/28/2024,4/28/2024,,Mario's Bombs Away,Mario's Bombs Away,https://www.imdb.com/title/tt3483388/,Video Game,4.4,,1983,War,19,11/10/1983,
226,tt9287052,4/28/2024,4/28/2024,,Mini Mario & Friends: amiibo Challenge,Mini Mario & Friends: amiibo Challenge,https://www.imdb.com/title/tt9287052/,Video Game,4.4,,2016,Adventure,14,4/28/2016,Stephen Mortimer
24,tt3425360,4/28/2024,4/28/2024,,Famicom Grand Prix: F-1 Race,Famicom Grand Prix: F-1 Race,https://www.imdb.com/title/tt3425360/,Video Game,4.3,,1987,Sport,11,10/30/1987,
13,tt3485788,4/28/2024,4/28/2024,,Donkey Kong Circus,Donkey Kong Circus,https://www.imdb.com/title/tt3485788/,Video Game,4.2,,1984,"Action, Family",14,9/6/1984,
7,tt3456378,4/28/2024,4/28/2024,,Donkey Kong Jr./Jr. Sansû Lesson,Donkey Kong Jr./Jr. Sansû Lesson,https://www.imdb.com/title/tt3456378/,Video Game,4.1,,1983,Family,18,1983,
34,tt3488322,4/28/2024,4/28/2024,,Mario the Juggler,Mario the Juggler,https://www.imdb.com/title/tt3488322/,Video Game,4,,1991,Family,11,10/14/1991,
43,tt0221381,4/28/2024,4/28/2024,,Mario Is Missing!,Mario Is Missing!,https://www.imdb.com/title/tt0221381/,Video Game,4,,1992,"Adventure, Family",238,1992,Jon Mandel
56,tt3442060,4/28/2024,4/28/2024,,UNDAKE30 Same Game Daisakusen Mario Version,UNDAKE30 Same Game Daisakusen Mario Version,https://www.imdb.com/title/tt3442060/,Video Game,4,,1995,,8,1/16/1995,
47,tt0290754,4/28/2024,4/28/2024,,Mario's Time Machine,Mario's Time Machine,https://www.imdb.com/title/tt0290754/,Video Game,3.8,,1993,"Action, Adventure, Family",90,1993-12,Henrik Markarian
22,tt3424596,4/28/2024,4/28/2024,,Golf: Japan Course,Golf: Japan Course,https://www.imdb.com/title/tt3424596/,Video Game,3.6,,1987,Sport,9,2/21/1987,Kenji Miki
177,tt2120853,4/28/2024,4/28/2024,,WarioWare: Snapped!,Utsusu meido in Wario,https://www.imdb.com/title/tt2120853/,Video Game,3.5,,2008,,26,4/5/2009,"Naoko Mori, Taku Sugioka"
71,tt3089776,4/28/2024,4/28/2024,,Mario Teaches Typing 2,Mario Teaches Typing 2,https://www.imdb.com/title/tt3089776/,Video Game,3.4,,1996,"Adventure, Family",39,10/31/1996,
23,tt3425338,4/28/2024,4/28/2024,,Golf: U.S. Course,Golf: U.S. Course,https://www.imdb.com/title/tt3425338/,Video Game,3.2,,1987,Sport,14,6/14/1987,Kenji Miki
32,tt3468460,4/28/2024,4/28/2024,,Mario Roulette,Mario Roulette,https://www.imdb.com/title/tt3468460/,Video Game,3,,1991,"Family, Fantasy",6,1991,
20,tt3422316,4/28/2024,4/28/2024,,I Am a Teacher: Super Mario No Sweater,I Am a Teacher: Super Mario No Sweater,https://www.imdb.com/title/tt3422316/,Video Game,2.9,,1986,Family,19,1986,
52,tt2227980,4/28/2024,4/28/2024,,Mario's Early Years! Fun with Numbers,Mario's Early Years! Fun with Numbers,https://www.imdb.com/title/tt2227980/,Video Game,2.7,,1994,Family,45,1994-09,"Andrew Iverson, Henrik Markarian"
53,tt2255452,4/28/2024,4/28/2024,,Mario's Early Years! Preschool Fun,Mario's Early Years! Preschool Fun,https://www.imdb.com/title/tt2255452/,Video Game,2.5,,1994,Family,47,1994-11,Peter Lipson
51,tt2263828,4/28/2024,4/28/2024,,Mario's Early Years! Fun with Letters,Mario's Early Years! Fun with Letters,https://www.imdb.com/title/tt2263828/,Video Game,2.4,,1994,Family,41,1994-10,"Andrew Iverson, Henrik Markarian"
